
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:11 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 18 2026,SPX261218C04750000,2367.17,0,2113.2,2123.8,0,0.3254,0.9257,0.0001,46,4750.00,SPX261218P04750000,71.37,-10.83,70.4,71.3,76,0.325,-0.0756,0.0001,2609
Fri Dec 18 2026,SPX261218C04775000,2251.52,0,2089.2,2102.7,0,0.3238,0.924,0.0001,8,4775.00,SPX261218P04775000,78.28,0,71.9,72.8,0,0.3232,-0.0774,0.0001,285
Fri Dec 18 2026,SPX261218C04800000,2200.05,0,2068,2078.5,0,0.322,0.9222,0.0001,2230,4800.00,SPX261218P04800000,77.6,0,73.4,74.3,0,0.3213,-0.0791,0.0001,8408
Fri Dec 18 2026,SPX261218C04825000,0,0,2044.3,2057.4,0,0.3205,0.9204,0.0001,0,4825.00,SPX261218P04825000,82.34,0,75,75.9,0,0.3195,-0.0809,0.0001,539
Fri Dec 18 2026,SPX261218C04850000,2175.57,0,2022.6,2033.1,0,0.3183,0.9185,0.0001,2,4850.00,SPX261218P04850000,82.91,0,76.6,77.5,0,0.3177,-0.0828,0.0001,3584
Fri Dec 18 2026,SPX261218C04875000,1060.29,0,1998.7,2011.7,0,0.3164,0.9166,0.0001,1,4875.00,SPX261218P04875000,88.1,0,78.2,79.2,0,0.3159,-0.0847,0.0001,234
Fri Dec 18 2026,SPX261218C04900000,2124.4,0,1977.5,1988,0,0.3147,0.9147,0.0001,2588,4900.00,SPX261218P04900000,81.49,-11.76,79.9,80.8,6,0.314,-0.0866,0.0001,7695
Fri Dec 18 2026,SPX261218C04925000,2022.43,0,1954,1966.7,0,0.3131,0.9127,0.0001,1,4925.00,SPX261218P04925000,84.1,-11.4,81.6,82.6,6,0.3123,-0.0887,0.0001,416
Fri Dec 18 2026,SPX261218C04950000,2083.83,0,1932.4,1943.5,0,0.3114,0.9106,0.0001,65,4950.00,SPX261218P04950000,85.31,-11.94,83.4,84.3,2,0.3104,-0.0907,0.0001,581
Fri Dec 18 2026,SPX261218C04975000,1385.62,0,1909.1,1921.5,0,0.3094,0.9086,0.0001,2,4975.00,SPX261218P04975000,87.7,-11.95,85.2,86.2,63,0.3088,-0.0928,0.0001,488
Fri Dec 18 2026,SPX261218C05000000,1892.42,65.97,1887.6,1898,8,0.3075,0.9064,0.0001,88419,5000.00,SPX261218P05000000,86.7,-14.9,87,88,59,0.307,-0.0949,0.0001,118762
Fri Dec 18 2026,SPX261218C05025000,2116.31,0,1864.4,1876.8,0,0.3059,0.9042,0.0001,15,5025.00,SPX261218P05025000,92.54,-11.31,88.9,89.9,2,0.3052,-0.0971,0.0001,381
Fri Dec 18 2026,SPX261218C05050000,1762.95,0,1842.9,1853.3,0,0.304,0.902,0.0001,92,5050.00,SPX261218P05050000,93.5,-12.65,90.8,91.9,3,0.3035,-0.0993,0.0001,2959
Fri Dec 18 2026,SPX261218C05075000,692.65,0,1819.8,1832.1,0,0.3024,0.8997,0.0001,31,5075.00,SPX261218P05075000,95.5,-12.8,92.8,93.9,1,0.3018,-0.1016,0.0001,504
Fri Dec 18 2026,SPX261218C05100000,1811.05,72.45,1798.6,1808.9,1,0.3007,0.8974,0.0001,3309,5100.00,SPX261218P05100000,96.1,-14.65,94.9,95.9,2,0.3001,-0.104,0.0001,22412
Fri Dec 18 2026,SPX261218C05125000,1962.66,0,1775.2,1787.6,0,0.2988,0.895,0.0001,333,5125.00,SPX261218P05125000,99.7,-13.55,96.9,98,1,0.2984,-0.1064,0.0001,661
Fri Dec 18 2026,SPX261218C05150000,1457.43,0,1754.3,1764.6,0,0.2972,0.8925,0.0001,188,5150.00,SPX261218P05150000,115.8,0,99.1,100.2,0,0.2968,-0.1088,0.0001,2022
Fri Dec 18 2026,SPX261218C05175000,1460.24,0,1731.4,1743.5,0,0.2956,0.89,0.0001,31,5175.00,SPX261218P05175000,100.94,-17.11,101.3,102.4,2,0.2951,-0.1113,0.0001,243
Fri Dec 18 2026,SPX261218C05200000,1975.5,0,1710.7,1720.6,0,0.2941,0.8874,0.0001,3093,5200.00,SPX261218P05200000,104.9,-15.95,103.5,104.7,1043,0.2934,-0.1139,0.0001,10719
Fri Dec 18 2026,SPX261218C05225000,1666,0,1687.9,1700.2,0,0.2928,0.8848,0.0001,51,5225.00,SPX261218P05225000,122.7,0,105.8,107,0,0.2918,-0.1165,0.0001,463
Fri Dec 18 2026,SPX261218C05250000,1814.1,0,1666.8,1676.8,0,0.2908,0.8821,0.0001,476,5250.00,SPX261218P05250000,111.7,-14.55,108.2,109.3,1,0.2901,-0.1192,0.0001,2715
Fri Dec 18 2026,SPX261218C05275000,1654.59,0,1643.9,1655.7,0,0.289,0.8794,0.0001,2,5275.00,SPX261218P05275000,114.2,-14.8,110.6,111.8,1,0.2885,-0.1219,0.0001,1621
Fri Dec 18 2026,SPX261218C05300000,1832.35,0,1623.3,1633.2,0,0.2876,0.8766,0.0001,3990,5300.00,SPX261218P05300000,114.2,-17.8,113.1,114.3,6,0.2869,-0.1247,0.0001,8261
Fri Dec 18 2026,SPX261218C05325000,1590.32,0,1600.8,1612.8,0,0.2862,0.8737,0.0001,2,5325.00,SPX261218P05325000,119.4,-15.55,115.6,116.8,5,0.2853,-0.1276,0.0001,396
